key,key:fundraiser,ticker,name,description,startMoment,endMoment,moreInfo,draftMode
strategy-01,fundraiser-01,AB12-EXPANSION,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",false
strategy-02,fundraiser-01,CD34-VERDE2026,"Innovación Verde","Financiación de proyectos sostenibles y energías renovables","2026/07/15 09:00","2028/01/15 09:00","https://example.com/verde",true
strategy-03,fundraiser-01,EF56-DIGIGROW,"Digital Growth","Impulso de productos digitales y SaaS","2026/05/10 12:30","2027/12/10 12:30","",true
strategy-04,fundraiser-01,GH78-INFRAURB,"Infraestructura Local","Desarrollo de infraestructuras urbanas","2026/09/01 08:00","2029/09/01 08:00","https://example.com/infra",true
strategy-05,fundraiser-01,IJ90-BIOTECHX,"Salud y Biotech","Inversión en startups biotecnológicas","2026/08/20 11:15","2028/08/20 11:15","https://example.com/biotech",true

##Casos positivos para name

strategy-06,fundraiser-02,KL12-TESTNAME,"L","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-07,fundraiser-02,KL13-TESTNAME,"Lo","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-08,fundraiser-02,KL14-TESTNAME,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-09,fundraiser-02,KL15-TESTNAME,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-10,fundraiser-02,KL16-TESTNAME,"โลเร็ม อิปซัม","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-11,fundraiser-02,KL17-TESTNAME,"لوريم إيبسوم","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-12,fundraiser-02,KL18-TESTNAME,"洛伦·伊普森","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-13,fundraiser-02,KL19-TESTNAME,"<marquee>Hacked</marquee>","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-14,fundraiser-02,KL20-TESTNAME,"<script>alert(‘Hacked!’);</script>","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-15,fundraiser-02,KL21-TESTNAME,"' or 'A' = 'A ","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true

##Casos positivos para description

strategy-16,fundraiser-02,KL22-TESTDESC,"Expansión Europa 2026","L","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-17,fundraiser-02,KL23-TESTDESC,"Expansión Europa 2026","Lo","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-18,fundraiser-02,KL24-TESTDESC,"Expansión Europa 2026","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-19,fundraiser-02,KL25-TESTDESC,"Expansión Europa 2026","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolore","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-20,fundraiser-02,KL26-TESTDESC,"Expansión Europa 2026","โลเร็ม อิปซัม","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-21,fundraiser-02,KL27-TESTDESC,"Expansión Europa 2026","لوريم إيبسوم","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-22,fundraiser-02,KL28-TESTDESC,"Expansión Europa 2026","洛伦·伊普森","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-23,fundraiser-02,KL29-TESTDESC,"Expansión Europa 2026","<marquee>Hacked</marquee>","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-24,fundraiser-02,KL30-TESTDESC,"Expansión Europa 2026","<script>alert(‘Hacked!’);</script>","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-25,fundraiser-02,KL31-TESTDESC,"Expansión Europa 2026","' or 'A' = 'A ","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true

##Casos positivos para moreInfo

strategy-60,fundraiser-02,KL33-TESTURL1,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00",null,true
strategy-26,fundraiser-02,KL32-TESTURL,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","http://a.b",true
strategy-27,fundraiser-02,KL33-TESTURL,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",true
strategy-28,fundraiser-02,KL34-TESTURL,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",true
strategy-29,fundraiser-02,KL35-TESTURL,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","http://www.lorem-ipsum.org",true
strategy-30,fundraiser-02,KL36-TESTURL,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","https://www.lorem-ipsum.org",true
